Lada Adamic,Facebook
Sameer Agarwal,Facebook
Kashif Ali,Facebook
Suhib Alsisan,Facebook
Kristen M. Altenburger,Facebook
Brandon Amos,Facebook
Pierre Andrews,Facebook
Michael Auli,Facebook
Vashist Avadhanula,Facebook
Necip Fazil Ayan,Facebook
Alexei Baevski,Facebook
Michael Bailey,Facebook
Eytan Bakshy,Facebook
Pablo Barberá,Facebook
Marco Baroni,Facebook
Stanislav Basovnik,Facebook
Dhruv Batra,Facebook
Nick Benton,Facebook
Alexander C. Berg,Facebook
Tamara Berg,Facebook
Suvrat Bhooshan,Facebook
Sam Blackshear,Facebook
Lindsay Blackwell,Facebook
Stacy Blasiola,Facebook
Jessica Bodford,Facebook
Piotr Bojanowski,Facebook
Antoine Bordes,Facebook
Abhijit Bose,Facebook
Leon Bottou,Facebook
Diane Bouchacourt,Facebook
Y-Lan Boureau,Facebook
Christopher Brew,Facebook
Nathan Bronson,Facebook
Moira Burke,Facebook
Roberto Calandra,Facebook
Nicolas Carion,Facebook
Neha Chachra,Facebook
Kostas Chalkias,Facebook
Satish Chandra,Facebook
Priyam Chatterjee,Facebook
Kan Chen,Facebook
Kevin Chen,Facebook
Shannon Chen,Facebook
Wenlin Chen,Facebook
Xianjie Chen,Facebook
Xinlei Chen,Facebook
Justin Cheng,Facebook
Vincent Cheung,Facebook
Soumith Chintala,Facebook
Kyunghyun Cho,Facebook
Dominic Coey,Facebook
Michael Cohen,Facebook
Alvaro Collet,Facebook
Ronan Collobert,Facebook
Alexis Conneau,Facebook
Alana Conner,Facebook
Edoardo Conti,Facebook
Jessica Cornick,Facebook
Camille Couprie,Facebook
Paul A. Crook,Facebook
Dina Dajani,Facebook
George Danezis,Facebook
Elena Goetz Davis,Facebook
Fernando De la Torre,Facebook
Alexandre Défossez,Facebook
Qingyuan Deng,Facebook
Matthew Denny,Facebook
Dino Distefano,Facebook
Piotr Dollar,Facebook
Yanzhi “Aaron” Dou,Facebook
Matthijs Douze,Facebook
Alex Dow,Facebook
Dmytro Dzhulgakov,Facebook
Henry Ehrenberg,Facebook
Arash Einolghozati,Facebook
Khalid El-Arini,Facebook
Manuel Fahndrich,Facebook
Angela Fan,Facebook
Haoqi Fan,Facebook
Han Fang,Facebook
Umer Farooq,Facebook
Arash Farzan,Facebook
Christoph Feichtenhofer,Facebook
Xue Feng,Facebook
Rob Fergus,Facebook
Christian Fuegen,Facebook
Katie Gach,Facebook
Oran Gafni,Facebook
Lingrui Gan,Facebook
Lakshmi Ganesh,Facebook
Dario Garcia,Facebook
Jason Gauci,Facebook
Jonas Gehring,Facebook
Alborz Geramifard,Facebook
Mohammad Ghavamzadeh,Facebook
Ross Girshick,Facebook
Georgia Gkioxari,Facebook
Joe Goldberg,Facebook
Liang Gong,Facebook
Qucheng Gong,Facebook
Albert Gordo,Facebook
Priya Goyal,Facebook
Benjamin Graham,Facebook
Edouard Grave,Facebook
Edward Grefenstette,Facebook
Andrew Grier,Facebook
Andreas Gros,Facebook
Sam Gross,Facebook
Jennifer Guadagno,Facebook
Sonal Gupta,Facebook
Francisco (Paco) Guzman,Facebook
Viet Ha-Thuc,Facebook
Tigran Hakobyan,Facebook
Mark Harman,Facebook
Kim Hazelwood,Facebook
Kaiming He,Facebook
Yunlong He,Facebook
Zijian He,Facebook
Ali Heller,Facebook
Hamid Hemmati,Facebook
Amaç Herdağdelen,Facebook
Jianyu Huang,Facebook
Jing Huang,Facebook
Kenneth Hung,Facebook
Mas-ud Hussain,Facebook
Ali Israr,Facebook
Shankar Iyer,Facebook
Gabriela Jacques da Silva,Facebook
Aaron Jaech,Facebook
Myungha Jang,Facebook
Hervé Jégou,Facebook
Bill Jia,Facebook
Yangqing Jia,Facebook
Yue Jia,Facebook
Jeff Johnson,Facebook
Nikhil Johri,Facebook
Armand Joulin,Facebook
Cheng Ju,Facebook
Dexter JU,Facebook
Jacob Kahn,Facebook
Yannis Kalantidis,Facebook
Aditya Kalro,Facebook
Shankar Kalyanaraman,Facebook
Brian Karrer,Facebook
Vasil Khalidov,Facebook
Douwe Kiela,Facebook
Chad Kiewiet de Jonge,Facebook
Alexander Kirillov,Facebook
Isabel Mette Kloumann,Facebook
Farshad Kooti,Facebook
Johannes Kopf,Facebook
Raj Prateek Kosaraju,Facebook
Christian Kroer,Facebook
Anuj Kumar,Facebook
Julius Kusuma,Facebook
Timothée Lacroix,Facebook
Brenden Lake,Facebook
Guillaume Lample,Facebook
Nikolay Laptev,Facebook
Alex Leavitt,Facebook
Yann LeCun,Facebook
Kevin Lee,Facebook
Thomas Leeper,Facebook
Carmen Lefevre-Lewis,Facebook
Christine Lehane,Facebook
Nektarios Leontiadis,Facebook
Adam Lerer,Facebook
Ben Letham,Facebook
Mike Lewis,Facebook
Tommer Leyvand,Facebook
Da Li,Facebook
Nan Li,Facebook
Teng Li,Facebook
Wei Li,Facebook
Xian Li,Facebook
Ying Li,Facebook
Yixuan Li,Facebook
Chiun Lin Lim,Facebook
Ser Nam Lim,Facebook
Zeming Lin,Facebook
Baiyang Liu,Facebook
Bing Liu,Facebook
Honglei Liu,Facebook
Xianming Liu,Facebook
Yang Liu,Facebook
Yucheng Liu,Facebook
Zhang Liu,Facebook
Dionysios Logothetis,Facebook
Francesco Logozzo,Facebook
David Lopez-Paz,Facebook
Pauline Luc,Facebook
Hao Ma,Facebook
Jerry Ma,Facebook
Paige Maas,Facebook
Haley MacLeod,Facebook
Despoina Magka,Facebook
Yael Maguire,Facebook
Dhruv Mahajan,Facebook
Gary Mak,Facebook
Rahul Makhijani,Facebook
Oleksandr Maksymets,Facebook
Andrey Malevich,Facebook
Siddarth Malreddy,Facebook
Ke Mao,Facebook
Jack Marriott,Facebook
Winter Mason,Facebook
Kevin Matzen,Facebook
Bart McGuyer,Facebook
Jason McHugh,Facebook
Nick McNutt,Facebook
Meenakshi Menon,Facebook
Solomon Messing,Facebook
Justin Meza,Facebook
Xianghang Mi,Facebook
Tomas Mikolov,Facebook
Alexander Miller,Facebook
Jon Millican,Facebook
Ilya Mironov,Facebook
Abdelrahman Mohamed,Facebook
Mrinal Mohit,Facebook
Shane Moon,Facebook
Ari Morcos,Facebook
Dheevatsa Mudigere,Facebook
Vijayaraghavan Murali,Facebook
María Murcia López,Facebook
Vivek Natarajan,Facebook
Maxim Naumov,Facebook
Natalia Neverova,Facebook
Dan Nguyen,Facebook
David T. Nguyen,Facebook
Viet-An Nguyen,Facebook
Huazhong Ning,Facebook
David Novotny,Facebook
Barlas Oğuz,Facebook
Peter O’Hearn,Facebook
Yann Ollivier,Facebook
Myle Ott,Facebook
Guilherme Ottoni,Facebook
Michela Paganini,Facebook
Manohar Paluri,Facebook
Junfeng Pan,Facebook
Guan Pang,Facebook
Devi Parikh,Facebook
Wonhee Park,Facebook
Omkar Parkhi,Facebook
Albert Parra Pozo,Facebook
Pedro Pedreira,Facebook
Xiaochang Peng,Facebook
Fabio Petroni,Facebook
Thibault Peyronel,Facebook
Joelle Pineau,Facebook
Juan Pino,Facebook
Adam Polyak,Facebook
Christian Puhrsch,Facebook
Sergey Pupyrev,Facebook
Joaquin Quiñonero Candela,Facebook
Kevin Quirk,Facebook
Mike Rabbat,Facebook
Jagdish Ramakrishnan,Facebook
Vignesh Ramanathan,Facebook
Marc’Aurelio Ranzato,Facebook
Jinfeng Rao,Facebook
Aparna Lakshmi Ratan,Facebook
Kaushik Ravichandran,Facebook
Jamie Ray,Facebook
Lindsay Reynolds,Facebook
Sebastian Riedel,Facebook
Marcus Rohrbach,Facebook
Stephen Roller,Facebook
Adriana Romero,Facebook
Karthik Abinav Sankararaman,Facebook
Okke Schrijvers,Facebook
Wolfram Schulte,Facebook
Raz Schwartz,Facebook
Holger Schwenk,Facebook
Lauren Scissors,Facebook
Ashish Shah,Facebook
Parikshit Shah,Facebook
Rushin Shah,Facebook
Jiajun Shen,Facebook
Peibei Shi,Facebook
Reshef Shilon,Facebook
Yaniv Shmueli,Facebook
Zheng Shou,Facebook
Kurt Shuster,Facebook
Rohit Singh,Facebook
Viswanath Sivakumar,Facebook
Eric Smith,Facebook
Eric Sodomka,Facebook
Kavya Srinet,Facebook
Bogdan State,Facebook
Joanna Sterling,Facebook
Nicolas Stier,Facebook
Pierre Stock,Facebook
Ves Stoyanov,Facebook
