Aditya G. Parameswaran,Carnegie Mellon University
Alberto L. Sangiovanni-Vincentelli,Carnegie Mellon University
Alessandro Chiesa,Carnegie Mellon University
Alexandre M. Bayen,Carnegie Mellon University
Alexei A. Efros,Carnegie Mellon University
Ali Javey,Carnegie Mellon University
Ali M. Niknejad,Carnegie Mellon University
Ali Niknejad,Carnegie Mellon University
Alistair Sinclair,Carnegie Mellon University
Alvin Cheung,Carnegie Mellon University
Alyosha A. Efros,Carnegie Mellon University
Ana Claudia Arias,Carnegie Mellon University
Anant Sahai,Carnegie Mellon University
Anca D. Dragan,Carnegie Mellon University
Anthony D. Joseph,Carnegie Mellon University
Armando Fox,Carnegie Mellon University
Avideh Zakhor,Carnegie Mellon University
Bala Kameshwar Poolla,Carnegie Mellon University
Ben Recht,Carnegie Mellon University
Benjamin Recht,Carnegie Mellon University
Bernd Sturmfels,Carnegie Mellon University
Bernhard E. Boser,Carnegie Mellon University
Bin Yu 0001,Carnegie Mellon University
Bjoern Hartmann,Carnegie Mellon University
Björn Hartmann,Carnegie Mellon University
Borivoje Nikolic,Carnegie Mellon University
Brian A. Barsky,Carnegie Mellon University
Chang Ming Wu,Carnegie Mellon University
Chunlei Liu,Carnegie Mellon University
Claire J. Tomlin,Carnegie Mellon University
Claire Jennifer Tomlin,Carnegie Mellon University
Claire Tomlin,Carnegie Mellon University
Clark T.-C. Nguyen,Carnegie Mellon University
Constance J. Chang-Hasnain,Carnegie Mellon University
Costas J. Spanos,Carnegie Mellon University
David A. Wagner 0001,Carnegie Mellon University
David Bamman,Carnegie Mellon University
David Culler,Carnegie Mellon University
David E. Culler,Carnegie Mellon University
Edward A. Lee,Carnegie Mellon University
Elad Alon,Carnegie Mellon University
Eli Yablonovitch,Carnegie Mellon University
Eric A. Brewer,Carnegie Mellon University
Eric Paulos,Carnegie Mellon University
George C. Necula,Carnegie Mellon University
Hany Farid,Carnegie Mellon University
Ion Stoica,Carnegie Mellon University
J. D. Tygar,Carnegie Mellon University
J. Doug Tygar,Carnegie Mellon University
Jaijeet Roychowdhury,Carnegie Mellon University
Jaijeet S. Roychowdhury,Carnegie Mellon University
James Demmel,Carnegie Mellon University
James F. O'Brien,Carnegie Mellon University
James Weldon Demmel,Carnegie Mellon University
