Aditya G. Parameswaran,Univ. of Illinois at Urbana-Champaign
Alberto L. Sangiovanni-Vincentelli,Univ. of Illinois at Urbana-Champaign
Alessandro Chiesa,Univ. of Illinois at Urbana-Champaign
Alexandre M. Bayen,Univ. of Illinois at Urbana-Champaign
Alexei A. Efros,Univ. of Illinois at Urbana-Champaign
Ali Javey,Univ. of Illinois at Urbana-Champaign
Ali M. Niknejad,Univ. of Illinois at Urbana-Champaign
Ali Niknejad,Univ. of Illinois at Urbana-Champaign
Alistair Sinclair,Univ. of Illinois at Urbana-Champaign
Alvin Cheung,Univ. of Illinois at Urbana-Champaign
Alyosha A. Efros,Univ. of Illinois at Urbana-Champaign
Ana Claudia Arias,Univ. of Illinois at Urbana-Champaign
Anant Sahai,Univ. of Illinois at Urbana-Champaign
Anca D. Dragan,Univ. of Illinois at Urbana-Champaign
Anthony D. Joseph,Univ. of Illinois at Urbana-Champaign
Armando Fox,Univ. of Illinois at Urbana-Champaign
Avideh Zakhor,Univ. of Illinois at Urbana-Champaign
Bala Kameshwar Poolla,Univ. of Illinois at Urbana-Champaign
Ben Recht,Univ. of Illinois at Urbana-Champaign
Benjamin Recht,Univ. of Illinois at Urbana-Champaign
Bernd Sturmfels,Univ. of Illinois at Urbana-Champaign
Bernhard E. Boser,Univ. of Illinois at Urbana-Champaign
Bin Yu 0001,Univ. of Illinois at Urbana-Champaign
Bjoern Hartmann,Univ. of Illinois at Urbana-Champaign
Björn Hartmann,Univ. of Illinois at Urbana-Champaign
Borivoje Nikolic,Univ. of Illinois at Urbana-Champaign
Brian A. Barsky,Univ. of Illinois at Urbana-Champaign
Chang Ming Wu,Univ. of Illinois at Urbana-Champaign
Chunlei Liu,Univ. of Illinois at Urbana-Champaign
Claire J. Tomlin,Univ. of Illinois at Urbana-Champaign
Claire Jennifer Tomlin,Univ. of Illinois at Urbana-Champaign
Claire Tomlin,Univ. of Illinois at Urbana-Champaign
Clark T.-C. Nguyen,Univ. of Illinois at Urbana-Champaign
Constance J. Chang-Hasnain,Univ. of Illinois at Urbana-Champaign
Costas J. Spanos,Univ. of Illinois at Urbana-Champaign
David A. Wagner 0001,Univ. of Illinois at Urbana-Champaign
David Bamman,Univ. of Illinois at Urbana-Champaign
David Culler,Univ. of Illinois at Urbana-Champaign
David E. Culler,Univ. of Illinois at Urbana-Champaign
Edward A. Lee,Univ. of Illinois at Urbana-Champaign
Elad Alon,Univ. of Illinois at Urbana-Champaign
Eli Yablonovitch,Univ. of Illinois at Urbana-Champaign
Eric A. Brewer,Univ. of Illinois at Urbana-Champaign
Eric Paulos,Univ. of Illinois at Urbana-Champaign
George C. Necula,Univ. of Illinois at Urbana-Champaign
Hany Farid,Univ. of Illinois at Urbana-Champaign
Ion Stoica,Univ. of Illinois at Urbana-Champaign
J. D. Tygar,Univ. of Illinois at Urbana-Champaign
J. Doug Tygar,Univ. of Illinois at Urbana-Champaign
Jaijeet Roychowdhury,Univ. of Illinois at Urbana-Champaign
Jaijeet S. Roychowdhury,Univ. of Illinois at Urbana-Champaign
James Demmel,Univ. of Illinois at Urbana-Champaign
James F. O'Brien,Univ. of Illinois at Urbana-Champaign
James Weldon Demmel,Univ. of Illinois at Urbana-Champaign
Jan M. Rabaey,Univ. of Illinois at Urbana-Champaign
Jean C. Walrand,Univ. of Illinois at Urbana-Champaign
Jeffrey Bokor,Univ. of Illinois at Urbana-Champaign
Jelani Nelson,Univ. of Illinois at Urbana-Champaign
Jennifer Listgarten,Univ. of Illinois at Urbana-Champaign
Jim Demmel,Univ. of Illinois at Urbana-Champaign
John Canny,Univ. of Illinois at Urbana-Champaign
John D. Kubiatowicz,Univ. of Illinois at Urbana-Champaign
John F. Canny,Univ. of Illinois at Urbana-Champaign
John Kubiatowicz,Univ. of Illinois at Urbana-Champaign
John Wawrzynek,Univ. of Illinois at Urbana-Champaign
Jonathan Ragan-Kelley,Univ. of Illinois at Urbana-Champaign
Jonathan Richard Shewchuk,Univ. of Illinois at Urbana-Champaign
Jose M. Carmena,Univ. of Illinois at Urbana-Champaign
Joseph E. Gonzalez,Univ. of Illinois at Urbana-Champaign
Joseph Gonzalez,Univ. of Illinois at Urbana-Champaign
Joseph M. Hellerstein,Univ. of Illinois at Urbana-Champaign
Kannan Ramchandran,Univ. of Illinois at Urbana-Champaign
Katherine A. Yelick,Univ. of Illinois at Urbana-Champaign
Kathy Yelick,Univ. of Illinois at Urbana-Champaign
Ken Goldberg,Univ. of Illinois at Urbana-Champaign
Kenneth Y. Goldberg,Univ. of Illinois at Urbana-Champaign
Koushik Sen,Univ. of Illinois at Urbana-Champaign
Kris Pister,Univ. of Illinois at Urbana-Champaign
Kristofer S. J. Pister,Univ. of Illinois at Urbana-Champaign
Krste Asanovic,Univ. of Illinois at Urbana-Champaign
Kurt Keutzer,Univ. of Illinois at Urbana-Champaign
Laura Waller,Univ. of Illinois at Urbana-Champaign
Laurent El Ghaoui,Univ. of Illinois at Urbana-Champaign
Luca Trevisan,Univ. of Illinois at Urbana-Champaign
Luke J. Lee,Univ. of Illinois at Urbana-Champaign
Marti A. Hearst,Univ. of Illinois at Urbana-Champaign
Martin J. Wainwright,Univ. of Illinois at Urbana-Champaign
Michael I. Jordan,Univ. of Illinois at Urbana-Champaign
Michael Lustig,Univ. of Illinois at Urbana-Champaign
Michel M. Maharbiz,Univ. of Illinois at Urbana-Champaign
Moritz Hardt,Univ. of Illinois at Urbana-Champaign
Murat Arcak,Univ. of Illinois at Urbana-Champaign
Nilah Ioannidis,Univ. of Illinois at Urbana-Champaign
Nir Yosef,Univ. of Illinois at Urbana-Champaign
Peter Bartlett,Univ. of Illinois at Urbana-Champaign
Peter L. Bartlett,Univ. of Illinois at Urbana-Champaign
Pieter Abbeel,Univ. of Illinois at Urbana-Champaign
Prabal Dutta,Univ. of Illinois at Urbana-Champaign
Prabal K. Dutta,Univ. of Illinois at Urbana-Champaign
Prasad Raghavendra,Univ. of Illinois at Urbana-Champaign
Raluca A. Popa,Univ. of Illinois at Urbana-Champaign
Raluca Ada Popa,Univ. of Illinois at Urbana-Champaign
Randy H. Katz,Univ. of Illinois at Urbana-Champaign
Randy Howard Katz,Univ. of Illinois at Urbana-Champaign
Ren Ng,Univ. of Illinois at Urbana-Champaign
Richard M. Karp,Univ. of Illinois at Urbana-Champaign
Rikky Muller,Univ. of Illinois at Urbana-Champaign
Robert J. Full,Univ. of Illinois at Urbana-Champaign
Ronald S. Fearing,Univ. of Illinois at Urbana-Champaign
Ruzena Bajcsy,Univ. of Illinois at Urbana-Champaign
S. Shankar Sastry,Univ. of Illinois at Urbana-Champaign
Sanjam Garg,Univ. of Illinois at Urbana-Champaign
Sanjit A. Seshia,Univ. of Illinois at Urbana-Champaign
Satish Rao,Univ. of Illinois at Urbana-Champaign
Sayeef Salahuddin,Univ. of Illinois at Urbana-Champaign
Scott Shenker,Univ. of Illinois at Urbana-Champaign
Sergey Levine,Univ. of Illinois at Urbana-Champaign
Seth R. Sanders,Univ. of Illinois at Urbana-Champaign
Seth Sanders,Univ. of Illinois at Urbana-Champaign
Shafi Goldwasser,Univ. of Illinois at Urbana-Champaign
Shankar S. Sastry,Univ. of Illinois at Urbana-Champaign
Shankar Sastry,Univ. of Illinois at Urbana-Champaign
Steven M. Conolly,Univ. of Illinois at Urbana-Champaign
Stuart J. Russell,Univ. of Illinois at Urbana-Champaign
Stuart Russell,Univ. of Illinois at Urbana-Champaign
Sylvia Ratnasamy,Univ. of Illinois at Urbana-Champaign
Thomas Courtade,Univ. of Illinois at Urbana-Champaign
Trevor Darrell,Univ. of Illinois at Urbana-Champaign
Tsu-Jae King Liu,Univ. of Illinois at Urbana-Champaign
Umesh V. Vazirani,Univ. of Illinois at Urbana-Champaign
Venkat Anantharam,Univ. of Illinois at Urbana-Champaign
Venkatachalam Anantharam,Univ. of Illinois at Urbana-Champaign
Vern Paxson,Univ. of Illinois at Urbana-Champaign
Vivek Subramanian,Univ. of Illinois at Urbana-Champaign
Vladimir Marko Stojanovic,Univ. of Illinois at Urbana-Champaign
Vladimir Stojanovic,Univ. of Illinois at Urbana-Champaign
Yun S. Song,Univ. of Illinois at Urbana-Champaign
