Omar Abou El-khir,Microsoft
Deanne Adams,Microsoft
Sharad Agarwal,Microsoft
Jacob Alber,Microsoft
Hunt Allcott,Microsoft
Zeyuan Allen-Zhu,Microsoft
Javier Alvarez-Valle,Microsoft
Patrick Anderson,Microsoft
Pete Ansell,Microsoft
Carl Anselmi,Microsoft
Kapil Arya,Microsoft
B. Ashok,Microsoft
Ahmed Ashour,Microsoft
Youssef Assaf,Microsoft
Morgane Austern,Microsoft
Ani Babaian,Microsoft
Carmen Badea,Microsoft
Andrew Bainbridge,Microsoft
Ram Bairi,Microsoft
Matthew Balkwill,Microsoft
Titus Barik,Microsoft
Solon Barocas,Microsoft
Emad Barsoum,Microsoft
Uros Batricevic,Microsoft
Keith Battocchi,Microsoft
Ryan Beckett,Microsoft
Raphael Behrendt,Microsoft
Danielle Belgrave,Microsoft
Simone Berkouwer,Microsoft
Asia J. Biega,Microsoft
Hadas Bitran,Microsoft
Ambrosio Blanco,Microsoft
Sandy Blyth,Microsoft
Federica Bogo,Microsoft
Arnaud Bousquet,Microsoft
Melissa Bristow,Microsoft
Dave Brown,Microsoft
Cedric Cagniart,Microsoft
Sydnee Caldwell,Microsoft
Gary Campbell,Microsoft
Xu Cao,Microsoft
Yue Cao,Microsoft
Ying Cao,Microsoft
Tony Carbary,Microsoft
Joe Cardoza,Microsoft
Philippe Caroff,Microsoft
David Carter,Microsoft
Peter Chang,Microsoft
Byron Changuion,Microsoft
Rajan Chari,Microsoft
Gohar Irfan Chaudhry,Microsoft
Alvin Chen,Microsoft
Mei Chen,Microsoft
Xie Chen,Microsoft
Qi Chen,Microsoft
Dong Chen,Microsoft
Isabel Chien,Microsoft
Steven Chith,Microsoft
Jiaqi Chu,Microsoft
Jarnail Chudge,Microsoft
Kamil Ciosek,Microsoft
Sylvan Clebsch,Microsoft
Thomas Coffee,Microsoft
Gabe Cohn,Microsoft
John Corring,Microsoft
Camille Couturier,Microsoft
Geoff Cox,Microsoft
Dan Crankshaw,Microsoft
Jeremy Cristiano,Microsoft
Silviu Cucerzan,Microsoft
Winnie Cui,Microsoft
Qi Dai,Microsoft
Ofer Dekel,Microsoft
Nicolas Delfosse,Microsoft
Jeff Delmerico,Microsoft
Shehzaad Dhuliawala,Microsoft
Adi Diamant,Microsoft
Eleanor Dillon,Microsoft
Matthew Dixon,Microsoft
Yuxiao Dong,Microsoft
Ed Doran,Microsoft
Nan Duan,Microsoft
Karen Easterbrook,Microsoft
Trevor Eberl,Microsoft
Benjamin Edelman,Microsoft
Lauren Edwards,Microsoft
Darrin Eide,Microsoft
John Elliott,Microsoft
Nathan Evans,Microsoft
Shane Fleming,Microsoft
Spencer Fowers,Microsoft
Victor Fragoso,Microsoft
Eric Frazer,Microsoft
Jingjing Fu,Microsoft
Alexandra Fursina,Microsoft
John Gamble,Microsoft
Ze Gan,Microsoft
Kevin Gao,Microsoft
Geoff Gardner,Microsoft
Alexis George,Microsoft
Raluca Georgescu,Microsoft
Michel Naim Gerguis,Microsoft
Jack Gerrits,Microsoft
Lincoln Ghioni,Microsoft
Pratik Ghosh,Microsoft
Patricia Gillespie,Microsoft
Adam Glass,Microsoft
Robert Gmyr,Microsoft
Ariel Gomez Diaz,Microsoft
Yannai A. Gonczarowski,Microsoft
Dioselin Gonzalez,Microsoft
Christopher Gooley,Microsoft
Chris Granade,Microsoft
Colin Gravill,Microsoft
Evan Green,Microsoft
Marc Greisen,Microsoft
Ruben Grigoryan,Microsoft
Sergei Gronin,Microsoft
Lukas Gruber,Microsoft
JJ Guajardo,Microsoft
Jan Gukelberger,Microsoft
Suriya Gunasekar,Microsoft
Xu Guo,Microsoft
Gagan Gupta,Microsoft
Manish Gupta,Microsoft
Rick Gutierrez,Microsoft
Ori Hadary,Microsoft
Jerome Hagen,Microsoft
Jimmy Hall,Microsoft
Alena Hall,Microsoft
Kern Handa,Microsoft
Liang He,Microsoft
Di He,Microsoft
Sebastian Heedt,Microsoft
Maggie Hei,Microsoft
Bettina Heim,Microsoft
Amber Hoak,Microsoft
John Hornibrook,Microsoft
Rafah Hosn,Microsoft
Saghar Hosseini,Microsoft
Zhitao Hou,Microsoft
Wenping Hu,Microsoft
Han Hu,Microsoft
Xiaowu Hu,Microsoft
Ray Huang,Microsoft
Charles Huang,Microsoft
Stephanie Hyland,Microsoft
René Hülswitt,Microsoft
Guilherme Ilunga,Microsoft
Srinivasan Iyengar,Microsoft
Sonia Jaffe,Microsoft
Shawn Jain,Microsoft
Karthik Jambunathan,Microsoft
Rajesh Jena,Microsoft
Alekh Jindal,Microsoft
Lucas Joppa,Microsoft
Stephen Jordan,Microsoft
Krzysztof Jozwik,Microsoft
Jason Kace,Microsoft
Adam Tauman Kalai,Microsoft
Ray Kallaher,Microsoft
Anshul Kanakia,Microsoft
Naoyuki Kanda,Microsoft
Sreekanth Kannepalli,Microsoft
Ritika Kapadia,Microsoft
Nikolaos Karianakis,Microsoft
Fotini Karinou,Microsoft
Helmut Katzgraber,Microsoft
Cheick Keita,Microsoft
Todd Kelley,Microsoft
Douglas Kelly,Microsoft
Shwetabh Khanduja,Microsoft
Daehyeok Kim,Microsoft
Eric Kimbrel,Microsoft
Melanie Kneisel,Microsoft
Kazuhito Koishida,Microsoft
Angela Kou,Microsoft
Philipp Kranen,Microsoft
Mint Kunkel,Microsoft
Markus Kuppe,Microsoft
Nate Kushman,Microsoft
Jacob LaRiviere,Microsoft
Jonathan Larson,Microsoft
Kristin Lauter,Microsoft
Alan Lawrence,Microsoft
Michael Lazos,Microsoft
Chris LeFeaver,Microsoft
Mathias Lecuyer,Microsoft
Jamie Lee,Microsoft
Woosuk Lee,Microsoft
Peter Lee,Microsoft
Tanakorn Leesatapornwongsa,Microsoft
Jonathan Lester,Microsoft
Jim Lewallen,Microsoft
Mike Lewis,Microsoft
Greg Lewis,Microsoft
Scarlett Li,Microsoft
Chao Li,Microsoft
Junjie Li,Microsoft
Yaobo Liang,Microsoft
Luming Liang,Microsoft
Lars Liden,Microsoft
Sehoon Lim,Microsoft
Zijia Lin,Microsoft
Chin-Yew Lin,Microsoft
Xihui (Eric) Lin,Microsoft
Zheng Liu,Microsoft
Tie-Yan Liu,Microsoft
Xiaodong Liu,Microsoft
Junyi Liu,Microsoft
Zhi Liu,Microsoft
Yunxin Liu,Microsoft
Shujie Liu,Microsoft
Kati London,Microsoft
Camilla Longden,Microsoft
Nuno Lopes,Microsoft
Tom Lorusso,Microsoft
Guang Hao Low,Microsoft
Yao Lu,Microsoft
Yan Lu,Microsoft
Scott Lundberg,Microsoft
Yang Luo,Microsoft
Moshe Lutz,Microsoft
Xiao Lv,Microsoft
