Lada Adamic,Facebook
Kaneeka Agarwal,Facebook
Angelica Agbukor,Facebook
Kristen M. Altenburger,Facebook
Keisha Amador,Facebook
John Amir-Abbassi,Facebook
Zheng An,Facebook
Paul André,Facebook
Seth Andrzejewski,Facebook
Sharon Ayalde,Facebook
Necip Fazil Ayan,Facebook
Merve Azak,Facebook
Lauren Bachan,Facebook
Max Balandat,Facebook
Brooke Baldwin,Facebook
Pablo Barberá,Facebook
Stanislav Basovnik,Facebook
Lindsay Bayham,Facebook
Emily Becklund,Facebook
Alexander C. Berg,Facebook
Tamara Berg,Facebook
Monica Bhole,Facebook
Shruti Bhutada,Facebook
Stacy Blasiola,Facebook
Jessica Bodford,Facebook
Bobo Bose-Kolanu,Facebook
Leon Bottou,Facebook
Y-Lan Boureau,Facebook
Christopher Brew,Facebook
Kayla Bright,Facebook
Bryan Carroll,Facebook
Diego Castaneda,Facebook
Trudy Cederman,Facebook
Onur Çelebi,Facebook
Kerem Cevahir,Facebook
Kostas Chalkias,Facebook
Selena Chan,Facebook
Monika Chandra,Facebook
Stu Chapman,Facebook
Jill Christ,Facebook
Ezgi Çiçek,Facebook
Jen Clark,Facebook
Peter Clasen,Facebook
Andrea Coens,Facebook
Riccardo Colini Baldeschi,Facebook
Alana Conner,Facebook
Adriana Crespo-Tenorio,Facebook
Paul A. Crook,Facebook
Christopher Cue,Facebook
Dina Dajani,Facebook
Sam Daulton,Facebook
Andréa Davis,Facebook
Mikal Davis,Facebook
Fernando De la Torre,Facebook
Bethany de Gant,Facebook
Alexandre Défossez,Facebook
Jen DiZio,Facebook
Piotr Dollar,Facebook
Snow Dong,Facebook
Yanzhi “Aaron” Dou,Facebook
Jessica Drum,Facebook
Thérèse E. Dugan,Facebook
Ravikant DVS,Facebook
Henry Ehrenberg,Facebook
Roee Eilat,Facebook
Khalid El-Arini,Facebook
Fawn Ellis,Facebook
Jess Erickson,Facebook
Ariel Evnine,Facebook
Manuel Fahndrich,Facebook
Soumia Fares,Facebook
Ismail Onur Filiz,Facebook
Sebastian Fite,Facebook
Nate Foulds,Facebook
Julie Francis,Facebook
Tara Franz,Facebook
Katie Gach,Facebook
Dario Garcia,Facebook
François Garillot,Facebook
Ross Girshick,Facebook
Geoffrey Goh,Facebook
